Osherhiel;1240;38816
Qescaegro;3626;17156
Joclington;2172;34544
Mestrana;1072;43740
Freivania;4852;6454
Plueyae;4720;34775
Uplil;4374;48860
Egrua;2565;45685
Groeh Stresh;4744;40620
Plueq Prary;3888;17545
Iegraerus;1506;19385
Eshioca;4415;12901
Eclijan;4593;48586
Fowhil;2143;40052
Bloetho;4228;20524
Treurus;4910;41163
Ebleau;3160;33870
Oprana;3329;33856
Froam Dresh;2162;12156
Shuy Frax;4471;41157
Neflusal;4051;47747
Guswuonia;1150;45045
Losmain;3415;30032
Quglium;1845;35350
Sheigro;3850;11672
Floyssau;4412;21521
Oshistan;2960;8408
Escait;3129;18574
Shuod Shon;4387;16929
Freuc Shait;4381;16737
